S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
81,2013-2014,West Bengal,147000155,Animal & Bird Welfare Society,Vill: Singti P0-singti-sibpur Vill;area UdaynarayanpurhowarhWest Bengal-711226,0.00
82,2013-2014,West Bengal,147110790,Anirban Rural Welfare Society,Vill-Gondia PO-Bhadura PS-Diamond Harbour24 parganas(S)West Bengal-743504,1689977.31
83,2013-2014,West Bengal,147000233,ANIRBAN WELFARE SOCIETY,62 1 SARADA CHATTERJEE LANE KADAMTALAHOWRAH711101,0.00
84,2013-2014,West Bengal,147120792,ANJALI,P-23 Darga Road 2nd Floor Near Park CircusKolkata700017,8861740.00
85,2013-2014,West Bengal,147000012,Ankurkala,9a Mehar Ali Road KolkataWb-700017,2695648.15
86,2013-2014,West Bengal,147120930,ANRINYA,Vill: Chandigari PO: BaduBadu700128,0.00
87,2013-2014,West Bengal,147110026,Antara,30 Chowringhee Road 1chowringhee MansionCalcutta  - 700 016-,953717.00
88,2013-2014,West Bengal,147120518,Antaranga Society for Social And Economic Development,E-12 New Garia DevelopmentCo-operative Housing Society Ltd.700094,1043853.00
89,2013-2014,West Bengal,147110381,Antyadaya Surja Sangha,Ranabeliaghata Baruipur P.O. Piyali Town 24 parganas SouthW.B.-743387,0.00
90,2013-2014,West Bengal,147120891,Anudip Foundation for Social Welfare,Vishnu Chambers Plot-14Block-GP Sector-V Salt Lake700091,25272638.00
91,2013-2014,West Bengal,146980080,Anugyalaya Darjeeling Diocese Social Service Society,C/o RCDC Hayden Hall Complex 42 Ladenla Road DarjeelingWest Bengal-734101,4449848.39
92,2013-2014,West Bengal,147120996,ANWESHA KOLKATA,FLAT NO 21 J 374 BAISHNAB GHATA PATULIKOLKATA700094,0.00
93,2013-2014,West Bengal,146990049,Apanjan Rural Development Sangha,Vpo Bhastara HooghlyWb-712303,0.00
94,2013-2014,West Bengal,146980109,Apostolic Convent Fellowship Welfare Socity,Dr B L Dixit Road P O-KalimpongKalimpong734301,13142460.63
95,2013-2014,West Bengal,147110898,Aradhana Social and Development Organisation - 03,Nabin Sen Pally P. O. Nabapally Barasat Kolkata - 700 126 Dist. 24 Pgs. (N)Barasat (Town)700126,0.00
96,2013-2014,West Bengal,147040493,Arambati Jivan Jyoti,Arambat P.O. Nimpura MidnapurDistt.- Paschim Midnepur (W.B.)-721304,4203858.00
97,2013-2014,West Bengal,147110642,Arogya Sandhan Santoshpur,2Ramkrishna saraniEastern Park Santoshpur Kolkata24 Parganas(S)West Bengal-700075,797402.00
98,2013-2014,West Bengal,147110514,Arpan  Mahila Samiti,Povillps:basanti South 24 ParganasWest Bengal-743312,116000.00
99,2013-2014,West Bengal,146990071,Arunda Pally Unnayan Samity,Arundapo Ghole Hooghly Wb-712401,0.00
100,2013-2014,West Bengal,147120086,Arunoday Midway Home,48 Ripon Streetkolkotta700016,1639649.75
101,2013-2014,West Bengal,146940046,Asansol Burdwan Seva Kendra,55- B.b.ghosh Road Burdwan(post) Burdwan. -713101,13271626.00
102,2013-2014,West Bengal,146940019,Asansol Women's Work,Bengali Girl's Day School P.o.asansolBurdwan -713301.-,0.00
103,2013-2014,West Bengal,147000166,Asha Bhavan Centre,Vill-Katila PO-Banitabla Uluberia HowrahWest Bengal;-711316,67783916.00
104,2013-2014,West Bengal,147120944,ASHA DEEP TRUST,96 MOORE AVENUEKOLKATA700040,45314.39
