S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
60,2017-2018,Karnataka,094630170,Alvas Education Foundation,Moodbidri MangaloreKarnataka-574227,0.00
61,2017-2018,Karnataka,094570222,Always Living Poors helping Arms Trust,No. 872 Anglo Indian Colony 6th Cross Robertsonpet KGF-563 122KOLLAR GOLD FIELDS563122,0.00
62,2017-2018,Karnataka,094640005,Amalas Kutumba Abivruddiyojane,Amalagondi PO Seebiagrahara Sira TumkurKarnataka-572125,0.00
63,2017-2018,Karnataka,094421117,Amara Prema Charitable Society,Holy Cross Centre No.28 Milton Street Cooke Town BangaloreKarnataka-560005,34742776.00
64,2017-2018,Karnataka,094421635,AMBA,174 Tower 1 Pebble Bay apartment RMV extension Dollars ColonyBangalore560094,578062.58
65,2017-2018,Karnataka,094420211,Ambassadors for Christ India,No 16 G1 Ambassador Apartment 6th cross Hutchins road St Thomas Town BangaloreBangalore560084,1971116.00
66,2017-2018,Karnataka,094420991,AME Foundation,204 100 Feet Ring Road 3rd Phase BanashanakariBangalore560085,8775947.70
67,2017-2018,Karnataka,094420816,Amici Di Raoul Follereau,584th Cross Kavery Layout Dharmaram College PO Bangalore Karnataka-560029,10994355.00
68,2017-2018,Karnataka,094630075,Ammemhal Subha Rao Rai Memorial Fund,Mangalore Dakshin KannadaKarnataka-,1870191.00
69,2017-2018,Karnataka,094470042,AMRA EDUCATIONAL AND SOCIAL WELFARE ASSOCIATION,HUNASHYALTALUKA SINDAGI586118,0.00
70,2017-2018,Karnataka,094690019,Amratha Bharathi Trust,Mithilanagara HebriHebri576112,0.00
71,2017-2018,Karnataka,094670015,Amruthavarshini Educational Trust,Asha Graphics Building Kumarapatnam Ranebennur Taluq Haveri District Karnataka - 581123Kumarapatnam581123,0.00
72,2017-2018,Karnataka,094630138,Anandashrama Seva Trust,PO Darbe Puttur  Dakshin KannadaKarnataka-574202,2120196.00
73,2017-2018,Karnataka,094690013,Anantharaja Charitable Trust,Mallar Village P.B.No.15 Vidyaniketan Group Of InstitutionsKaup574106,0.00
74,2017-2018,Karnataka,094420960,Ananya Trust,2336th Main 4th Block Jayanagar BangaloreKarnataka-560011,417474.00
75,2017-2018,Karnataka,094421115,Anchor Family Development Trust,Block A Flat 302 Oceanus Monarda Apartment Kasavanahalli RoadBangalore560035,0.00
76,2017-2018,Karnataka,094420130,Anekal Jesuit Education And Charitable Society,21Levelle Road Loyala MandirBangalore Karnataka.-560001,560251.00
77,2017-2018,Karnataka,094420043,Anekal Rehabilitation Education & Development Centre,Diddibagilu Thaysaja Road Anekal Bangalore Karnataka. -562106,2488396.00
78,2017-2018,Karnataka,094420530,Anga Karunya Kendra,No.15 Visweswaraiah Ind Area. Mahadevapura Bangalore Karnataka-560048,0.00
79,2017-2018,Karnataka,094421541,ANGELS GARDEN,"106 Esther Greens Layout
Kada Agrahara
Doddagubi Post442560077",1165600.00
