S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
140,2010-2011,Bihar,031170061,Bihar Medical Library & Research Soceity,I.M.A. Building South Gandhi MaidanDistt. Patna Bihar -,0.00
141,2010-2011,Bihar,031170074,Bihar Sanskritik Vidyapith,Sheikhapura Patna Bihar  -,0.00
142,2010-2011,Bihar,031130004,Bihar School of Yoga,Ganga Darshan Munger Bihar 811207-,15210232.21
143,2010-2011,Bihar,031130017,Bihar Seva Mandal,Munger Bihar  -,55950.00
144,2010-2011,Bihar,031290025,Bihar Seva Samiti,Kutchery Road MadhubaniBihar -847211,1963221.00
145,2010-2011,Bihar,031360004,Bihar Seva Sansthan,VPO Bargawan Via Narhut Blk. Sirdala NawadaBihar-,14000.00
146,2010-2011,Bihar,031140062,Bihar Viklang Kalyan Parishad,Adarsh Nagar Majhaulia Town.city;- KhabraDistt-Muzaffarpur Bihar-846143,28000.00
147,2010-2011,Bihar,031170005,Bihar Voluntary Health Association,West of Ganga Apartments L.C.T. ChatMainpura800001,5677704.76
148,2010-2011,Bihar,031170010,Bihar Water Development Society,Kurji P.O Sadaquat Ashram PatnaBihar-800010,19546395.35
149,2010-2011,Bihar,031130026,BIHAR YOGA BHARATI,Ganga Darshan  Munger Bihar-811201,18437691.25
150,2010-2011,Bihar,031350012,Bilal Charitable Trust of India,Gopalpur PO Bakarganj SiwanBihar-841286,393008.73
151,2010-2011,Bihar,031340012,Binoba Aroyagya Lok Sikchhan Kendra,P.O. Boday At. Jaikrishna Nagar Via- Islamp Ur. Nalanda Bihar -801303,3920732.00
152,2010-2011,Bihar,031090086,BODHGAYA CHILDREN AID CHARITABLE TRUST,C/O HOTEL MAHAMAYABODHGAYA824231,4400000.00
153,2010-2011,Bihar,031090069,Bodhgaya International Vipassana Meditation Center,Gaya-Dovi  Road P.O.-Magadh UniversityGaya(Bodh Gaya)Bihar.-824234,1075252.90
154,2010-2011,Bihar,031170116,Bread,Moh. Pirmohani Lane 3 P.O. Kadmkuan           Distt. Patna Bihar -800003,3156716.00
155,2010-2011,Bihar,031200002,Brethern In Christ Church Society,Mission Compound B.I.C. Church Box No..8Saharsa Bihar -,4258347.30
156,2010-2011,Bihar,031170343,Buddha  Society  Trust,Gitanjali Bhawan Ramlakhan Path. Ashok Nagar Road No.8Kankar BaghPatna Bihar-800020,0.00
157,2010-2011,Bihar,031090084,BUDDHA EDUCATIONAL FOUNDATION,VILL / POST- BAKROURBODHGAYA824231,947067.00
158,2010-2011,Bihar,031040022,Buddha Mision of India,Savitri SadanAndarkila SDO Road HazipurVaishali-844101,0.00
159,2010-2011,Bihar,031090050,Buddha Viklang Vikash Sansthan,Pachhati Bodhgaya GayaBihar-824231,0.00
160,2010-2011,Bihar,031090014,Buddhagaya Temple Management Committee,Bodgaya Distt. GayaBihar -,15598049.00
161,2010-2011,Bihar,031170172,Bureau of obligate and Accompaniner for Rural Development,At& P.O. Shahjahanpur  Via Nagarnousha Dist: PatnaBihar-,217000.00
162,2010-2011,Bihar,031090052,Butt Shinji Public Charitable Trust,Village Mastipur BodhgayaDistt. Gaya Bihar-824231,945246.00
163,2010-2011,Bihar,031300010,Catholic Church,Katihar Girja Colony Bihar  -854105,4772296.00
164,2010-2011,Bihar,031180003,Catholic Church Purnea Bihar,Dumka Catheloic Doices Bihar  -854301,2935.00
165,2010-2011,Bihar,031170076,Centre For Communication Resource Development,Shyama Bhavan West Boring Canal Rd PatnaBihar-800001,6783256.00
166,2010-2011,Bihar,031170458,Centre For Development Orientation and Training,607 Verma Centre Boring Road CrossingPatna800001,0.00
167,2010-2011,Bihar,031170240,Centre for DocumentationInformation Research Education Communication Training,4B Charuvilla ApartmentBoring Road800001,3461069.00
168,2010-2011,Bihar,031170396,CENTRE FOR PROMOTING SUSTAINABLE LIVELIHOOD,HOUSE NO 22 R.L ENCLAVE DUPLEX COLONY NEAR SONALI AUTO BYPASS ROAD VISHNUPURI ANISHABAD117800002,1492398.88
169,2010-2011,Bihar,031170193,Centrre for Health and Resource Management,5 Pragati Path  West Boring Canal RoadPatna Bihar. -800001,491125.00
170,2010-2011,Bihar,031030003,Chakai Parish Society,Chancery Office Nawab Colony BhagalpurBihar-812001,989716.00
171,2010-2011,Bihar,031270038,Champaran Vikas  Sansthan Siswania,AT & P.O.-Siswania P.S. & Block- Lauriya  District - West ChamparanBihar.-,0.00
172,2010-2011,Bihar,031270044,Champaran Yuva Kalyan Society,At- Ramnagar P.O.- Ramnagar Dist.- West ChamparanWest Champaran845106,0.00
173,2010-2011,Bihar,031040037,CHANDRA VIKAS SANSTHAN,ANWARPUR CHOWK NEAR HARIJAN THANA SAHU SAMAJ BHAWAN ROADHAJIPUR844101,0.00
174,2010-2011,Bihar,031380028,Chandrashekhar Azad Gramin Vikas Sewa Sansthan,Village and P.O.- Gharwara Via- BarharwaSitamarhi843315,0.00
175,2010-2011,Bihar,031370003,Chandrika Samajik Utthan evam Gramin Vikas Sansthan,Jamhon   AurangabadBihar-824121,0.00
176,2010-2011,Bihar,031170125,Chandrika Sevayatan,57-A Dak Bunglow Road  Patna Bihar  -800001,0.00
177,2010-2011,Bihar,031270018,Charitable Association for Rural Education & Development,Khrist Raja High School BettiahWest Champara Bihar `-,5344077.09
178,2010-2011,Bihar,031340063,Chetanalaya,Rajgir NalandaBihar-803116,4064613.00
179,2010-2011,Bihar,031150004,Chetna Sagar,Santhali Tola PO. Shahpur Gwalpara Madhipura (Bihar)-852113,0.00
180,2010-2011,Bihar,031330006,Chetna Vikash Parishad,Village Pachrukhi Samastipur Bihar  -,0.00
181,2010-2011,Bihar,031170067,Chhatrodaya Vachnalaya,Khushrupur Distt. Patna Bihar  -803202,0.00
182,2010-2011,Bihar,031140085,Chikka Federation of India,Muhalla- GannipurMuzaffarpur842001,0.00
183,2010-2011,Bihar,031170411,CHILD CARE CENTRE,14 ADARSH COLONY SHRI KRISHNA NAGAR PATNAPATNA800001,0.00
184,2010-2011,Bihar,031350022,Chintan,Andar Town\City - SiwanBihar.-841226,0.00
185,2010-2011,Bihar,031000011,Chirage Education Culture and Health Awareness Center,Kripura Kamarpur PostBuxar802102,0.00
186,2010-2011,Bihar,030950020,Collective Rural Operation for the Poor,Vill+P.O.-Koil Bhupat KalerArwal(Bihar)Bihar.-804430,0.00
187,2010-2011,Bihar,031170073,Community Health Medical Unit,"FIRST FLOOR NAVJYOTI NIKETAN
P.O. SADAQUAT ASHRAM
KURJIPATNA800010",349021.67
188,2010-2011,Bihar,031340061,Community Unit,Slum Area Baiganabad P.O. Bihar SharifNalanda-Bihar-803101,0.00
189,2010-2011,Bihar,031280030,Comprehensive Health And Rural Development Society(CHARDS),C/O Dr.S.LallNear Chhatauni ColonyMotihariMotihari845401,0.00
