S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
129,2010-2011,Gujarat,042100043,Bhulabhai Jivanji Patel Vaidkiya Trust, SuratGujarat-394650,0.00
130,2010-2011,Gujarat,042000099,Bilimora Vibhag Kelvani Mandal Bilimora,Morarji Desai Road College Campus Bilimora NavsariGujarat-396321,0.00
131,2010-2011,Gujarat,041910002,Blind Peoples Association India,DR.VIKRAM SARABHAI ROAD VASTRAPURAHMEDABAD -380015,10007813.00
132,2010-2011,Gujarat,042010005,Blind Welfare Council,Mission Road near Railway overbridge DahodGujarat-389151,968575.00
133,2010-2011,Gujarat,041910145,Bochasanwasi Akshar Purushottam Swaminarayan Sanstha,Shri Aksharpurushottam Swaminarayan Centre Shahibaug AhmedabadGujarat-380004,556620143.00
134,2010-2011,Gujarat,041910235,Bochasanwasi Shri Aksharpurushottam Public Charitable Trust,Accounts Deptt. Dharma Sadan Shri Swaminarayan MandirShahibang Road Ahmedabad.-,42455624.00
135,2010-2011,Gujarat,041960156,Bodeli Dhokalia Public Hospital Trust,Dr. N.A.Parikh RoadBodeli391135,2367438.00
136,2010-2011,Gujarat,042040093,Borsad Taluka Muslim Education Trust,M.E.T. High School Babari Chakla BorsadAnand (Gujarat)-,0.00
137,2010-2011,Gujarat,041980035,Botad Mahajan Panjropal and Gaushala,Para Botad Distt. BhavnagarGujarat-364710,333574.00
138,2010-2011,Gujarat,042030022,Brhamchari Shri Bhagavatinandji Education Trust-Champarada,Br. Sh.Mukundanadji Guru Sh Bhagw-  tinandji's AshramSurevdham-AshramTa:VisavadarJunagadh (Gujarat)-362120,29966567.56
139,2010-2011,Gujarat,041990030,Broach Social Service Society, JHAGADIABHARUCH -393110,0.00
140,2010-2011,Gujarat,042000066,Bulsar Parsi Anjuman Trust Funds,BUNDER ROAD BEJAN BAUGVALSAD  -396001,2570648.00
141,2010-2011,Gujarat,042080009,C.M.I  St.Xavier's Society,CMI Provincial House B/H A.G. Society off: Kalawad RoadRAJKOT -360005,670992.00
142,2010-2011,Gujarat,042100159,CALVARY SEVA SANGH,"CALVARY SEVA SANGH
At.Ozar Po.Hindala Ta. Fort-Songadh Dist. Tapi Gujarat
Pin.394365FORT-SONGADH394365",0.00
143,2010-2011,Gujarat,041910068,Carmel Area Methodist Church,Ramol Road AhmedabadGujarat-380026,0.00
144,2010-2011,Gujarat,041960036,Carmel Ashram,MAKARPURA ROAD  BARODA -390010,116156.00
145,2010-2011,Gujarat,042030002,Carmel Society,Station Road  Junagadh -362001,506592.00
146,2010-2011,Gujarat,042000030,Carmelite Sisters Of Charity,Jivan Dhara At. Post- Pimpri District- DangsGujarat-394715,1327250.00
147,2010-2011,Gujarat,042090051,Carmelite Sisters of Charity Society,Shanti Deep MeghrajSABARKANTHA Gujarat-383350,5308862.00
148,2010-2011,Gujarat,041980011,Carmelite Sisters Of Cjarotu Society,Fatima Convent School Jail RoadBHAVNAGAR  Gujarat-364001,0.00
149,2010-2011,Gujarat,041990011,Catholic  Church - Nivalda,At.- Nivalda (Dcelicapada) Post- DEDIAPADADistrict- Narmada Gujarat-393040,3250.00
150,2010-2011,Gujarat,041950012,Catholic Ashra, PALANPURBANASKANTHA -385535,4140706.00
151,2010-2011,Gujarat,041950002,Catholic Ashram, RADHANPURBANASKANTHA -385430,2403246.00
152,2010-2011,Gujarat,042060010,Catholic Ashram,P.O.BOX 3 CATHOLIC ASHRAM NORTH GUJARATMEHSANA -384002,2777476.00
153,2010-2011,Gujarat,041950023,Catholic Ashram Danta,Catholic Ashram Palanur Banaskantha (Gujarat) -385001,1160805.00
154,2010-2011,Gujarat,041910157,Catholic Church,Sardar Nagar HansolAhmedabad Gujarat-382475,73000.00
155,2010-2011,Gujarat,041960037,Catholic Church,Khos Chotta UdepurDist: Baroda Gujarat.-391165,1815000.00
156,2010-2011,Gujarat,042040002,Catholic Church,Karuna Sadan Cambay AnandGujarat.-388620,4310254.00
157,2010-2011,Gujarat,042040039,Catholic Church,P. Box No. 2 Kapadvanj Road DakorGujarat-388225,50000.00
158,2010-2011,Gujarat,042040052,Catholic Church,Khambolaj Taluka and District - Anand -388330,191943.00
159,2010-2011,Gujarat,042040080,Catholic Church,Mission road District- Kheda Gujarat-387002,30000.00
160,2010-2011,Gujarat,042060005,Catholic Church,Catholic Ashram P.Box. 05 Kalol Dist GandhinagarGujarat-382721,1300072.00
