S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
56,2018-2019,Tamil Nadu,076160041,B.S.W & V.V. TRUST,"5/27 JAIN NAGAR  ARUMUGANERI PIN:-628202
THIRUCHENDUR TALUK
TUTICORIN DISTRICT
ARUMUGANERI628202",0.00
57,2018-2019,Tamil Nadu,075900615,Balavidyalaya Trust,18 1st Cross StreetShastri Nagar600020,2129088.00
58,2018-2019,Tamil Nadu,076060076,Bannari Rural Foundation,Bannari Amman Sugars Complex AlathukombaiSathymangalam638401,0.00
59,2018-2019,Tamil Nadu,075850319,BANNARIAMMAN EDUCATIONAL TRUST,1212 TRICHY ROADCOIMBATORE641018,0.00
60,2018-2019,Tamil Nadu,076080144,BARATH HANDICAPPED UPLIFTMENT TRUST,Allappanur Main Road ThenmudiyanurThandarampattu Taluk606707,0.00
61,2018-2019,Tamil Nadu,075870105,Bethany Social Service Society,2/229 B Vishalakshi ComplexThally635118,624157.00
62,2018-2019,Tamil Nadu,076000128,BETHEL FAITH MINISTRIES,PLOT NO. 140 NGGO COLONY GORIMEDUSALEM636008,0.00
63,2018-2019,Tamil Nadu,076060046,Bethel Social Welfare Trust,3 Raja Street Rangasamudram SathyamangalamErode Distt. (tamil Nadu)-636402,0.00
64,2018-2019,Tamil Nadu,075950056,Bharatha Matha Trust,D No 14 First Floor Minnagar Seepalakottai RoadChinnamanur625515,0.00
65,2018-2019,Tamil Nadu,076070003,Bharathamatha Family Welfare Foundation,No: 1 Mettu Street Post Box  No. 19 ThiruthuraipoondiThiruvarur Distt. (tamil Nadu)-614713,0.00
66,2018-2019,Tamil Nadu,075930028,Bharathi Grama Mahalir Nala Mandram,33 Anbu Nagar ManamaduraiSivagangai District630606,0.00
67,2018-2019,Tamil Nadu,075920011,Bharathiya JeevanDhara Environment and Renaissance Society,Athur Main Road Krishnapuram Veppanthattai Taluk Perambalur DistPerambalur621116,0.00
68,2018-2019,Tamil Nadu,076050103,Bhargavan Trust,1913/15 Noth Main street Tirumala Garden Pudukkottai -5Pudukkottai622005,0.00
69,2018-2019,Tamil Nadu,076100074,BRAHMA SABHA TRUST,PREMIKA BHAVANAM AGRAHARAM STREET PARANUR VILLAGE VIA MUGAIYUR THIRUKOVILUR TALUK.THIRUKOVILUR605755,0.00
70,2018-2019,Tamil Nadu,076030235,Bright Social Servece Society,17/13 Sivan South Car Street PallayamkottaiTirunelveli Tamil Nadu-627002,7257979.00
71,2018-2019,Tamil Nadu,075950040,BRKC Welfare Society,No 115/W-2 Somesapuram Near Forest BungalowSukkankalpatty625540,117852.80
72,2018-2019,Tamil Nadu,075850030,Brothers of St. Michael,Bishops House P Box 6 Big Bazar St Coimbatore TownTn-,4892978.00
73,2018-2019,Tamil Nadu,076030237,BUDDHA OUTCAST SOCIAL SOCIETY - BOSS,"NO 323 DR AMBEDKAR STREET  ADAIYUR VILLAGE 
TIRUVANNAMALAI DISTRICT  TAMIL NADU 606604 INDIA .TIRUVANNAMALAI606604",285285.00
74,2018-2019,Tamil Nadu,075840015,Build India Trust,1/3C Simon Colony ColachelKanyakumari629251,0.00
75,2018-2019,Tamil Nadu,075940250,Bureau For Integrated Rural Development,Polambakkam Po Chengai Mgr MaduraiTn-603309,0.00
76,2018-2019,Tamil Nadu,075900813,C.P.R. Environmental Ducation Centre,1 Eldams Road AlwarpetChennai-600018,3759173.00
77,2018-2019,Tamil Nadu,075900543,C.P.Ramaswamy Aiyar Foundation,1 Eldams Road Alwarpet ChennaiTamil Nadu-600018,801382.00
78,2018-2019,Tamil Nadu,075960155,C.S. Rural Development Association,148 West Rampart Thanjavur-613009 Tamilnadu.Thanjavur613009,0.00
79,2018-2019,Tamil Nadu,075900046,C.S.I. Kalyani General Hospital, MylaporeChennai -600004,0.00
80,2018-2019,Tamil Nadu,076040292,C.T.C. Province Charitable Trust,Amalagam Vengangudi Pallam Palividai Post SamayapuramTiruchirapalli (tamil Nadu)-621112,622315.00
81,2018-2019,Tamil Nadu,075850252,CALVARY COMMUNITY TRUST,No. 9/10 A P. K. Street Edayarpalayam KuniyamuthurCoimbatore641008,0.00
82,2018-2019,Tamil Nadu,078040002,CENTER FOR SUSTAINABLE DEVELOPMENT,No 9 CUDDALORE GOVERNMENT HOSPITAL ROADCUDDALORE607001,13727998.00
83,2018-2019,Tamil Nadu,076060031,Centre For Action And Rural Education- Care,55 Kambar Street Teachers ColonyErode-11 (tamil Nadu)-,6262887.00
84,2018-2019,Tamil Nadu,075900839,Centre for Action Research on Environment Science and Society (CARESS),160 Sivananda Road Gillnagar  Extn.- 2 ChoolaimeduChennai (Tamil Nadu)-600094,990935.29
85,2018-2019,Tamil Nadu,075940018,Centre For Dev And Communication Trust, Theni Distt -,0.00
86,2018-2019,Tamil Nadu,075900707,Centre For Development Alternatives,Plot 15 D First Cross Street BHEL NagarMedavakkam600100,0.00
87,2018-2019,Tamil Nadu,075900632,Centre For Indian Knowledge System,"B-3RAJALAKSHMI COMPLEX (2ND FLOOR)
18 CHAMIERS ROAD 
NANDANAMCHENNAI600035",0.00
88,2018-2019,Tamil Nadu,075890185,Centre For Rural,Technology For Com Dev  Kunnathukonam Villai palappallyMekkamandapam629001,0.00
89,2018-2019,Tamil Nadu,075940274,Centre For Rural Education & Development,301 Main Road T. Vadipatti MaduraiTn-625218,0.00
90,2018-2019,Tamil Nadu,075840094,CENTRE FOR SOCIAL ACTION TRUST,Supergeon Building Azahiyamandapam Mulagumoodu PostKanyakumari629167,0.00
91,2018-2019,Tamil Nadu,075890183,Centre For Social Development,Kulala St TirunainarkurichyAmmandivilai Kanyakumari629204,0.00
92,2018-2019,Tamil Nadu,075890147,Centre For Social Reconstruction,139D Eathamozhi Road ChennavannanvilaiNagercoil-2 Nagercoil629002,0.00
93,2018-2019,Tamil Nadu,075940189,Centre For Social Service And Research,Hanumanth Rayan Kottae DindigulTn-,0.00
94,2018-2019,Tamil Nadu,076030231,Child Aid Trust,"No.762/1 Pachyamman koil Cross Road
Anna Nagar 
Kollappalur Village 
Chetpet Taluk.Chetpet632313",15074464.00
95,2018-2019,Tamil Nadu,075890445,CHILD VOICE,3/B Muthunagar III Street NGO ColonyDindigul624005,4493751.74
96,2018-2019,Tamil Nadu,075900113,Children Garden School Society,Dr.radhakrishan Road MylaporeChennai-,79150.00
97,2018-2019,Tamil Nadu,075850191,Christ Guidance Mission Trust,Site No.2Railwaymens Colony KavundampalayamCoimbatoreTamilnadu-641030,684186.72
98,2018-2019,Tamil Nadu,075820105,Christ King Society,Christ King Convent Mes Road East Tambaram ChennaiTn-600059,0.00
99,2018-2019,Tamil Nadu,075940014,Christian Felloship Comm Health Centre,Shanthipuram Ambilikkai(via) OddanchatramDindigul-,0.00
100,2018-2019,Tamil Nadu,075900342,Christian Foundation For The Blind India, PallavaramChennai -600043,435681.00
101,2018-2019,Tamil Nadu,076040198,Christian Medical And Educational Trust,86 Chinnakadai Street  Tiruvannamalai T N-,0.00
102,2018-2019,Tamil Nadu,075850026,Christian Mission Hospital,1150 Tricy Road(new 1259) CoimbatoreTamilnadu-641045,58956.42
103,2018-2019,Tamil Nadu,075840082,CHRISTIAN OVERCOMERS FELLOWSHIP,4/2B6- HOUSING BOARD PLOT KAMARAJ NAGAR COLONYCOLACHEL629251,15067607.32
104,2018-2019,Tamil Nadu,076000047,Christopher Educational Trust,School 6/94 Annamali  Road  Salem Tamil Nadu-,14932297.00
105,2018-2019,Tamil Nadu,075900938,Citizen Development Centre,No 44 First Floor Old Post Office Road Venkatapuram AmbatturChennai Thiruvallur600053,0.00
